Variable,count,mean,std,min,25%,50%,75%,max
Historical_Trauma_Index,20.0,0.010330541008121797,0.6678851374137406,-1.3790410297418936,-0.3062073221511883,0.038145594254119404,0.45883120451748666,1.506508723474583
Indicators_Used,20.0,3.6,1.9574419397183715,1.0,1.0,5.0,5.0,5.0
Constant_Indicators_Dropped,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
AI_AN_Population,20.0,181442.85,161515.0440632878,33746.0,78067.25,116855.0,226181.25,649862.0
Total_Population,20.0,9389980.9,10409644.813117653,733391.0,2857841.0,5740104.0,10167845.25,39538223.0
AI_AN_Population_Percent,20.0,4.0604106948380245,4.4390587869559655,0.470304208984721,1.3532214272470102,1.9216852718688964,4.950737080458855,15.537823616597422
Mean_Mortality_Disparity_Ratio,13.0,2.4310320634723013,1.80879514842208,0.7486631016042781,1.3468468468468469,1.8786610878661087,2.5271317829457365,7.118181818181818
Mortality_Cause_Count,13.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
AI_AN_Missing,13.0,34.15384615384615,39.507058765588866,2.0,9.0,15.0,46.0,145.0
AI_AN_Missing_Rate_per_100k_AI_AN,13.0,20.16161358960952,32.83524064581934,0.8635802309213537,6.443402760998083,11.467363882390716,19.588817063226323,127.2454432967978
